"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000001",654.882728373146,-0.0966413386842699,0.0980852129850061,-0.985279388637745,0.32448685414168,0.993237435802642
"ENSMUSG00000000028",22.0917362815786,-0.199145786430165,0.149100080083372,-1.33565177375364,0.181663119190095,0.905752259046011
"ENSMUSG00000000031",9.46778819765975,0.134904220897486,0.122958947223773,1.09714847063528,0.272576494548247,0.993237435802642
"ENSMUSG00000000037",40.6471090279983,-0.0956189929107518,0.154772025897122,-0.617805397044492,0.536703625383939,0.993237435802642
"ENSMUSG00000000049",4.35469334464633,0.0387544299964583,0.0949037275230403,0.408355193288373,0.683012923809674,0.993237435802642
"ENSMUSG00000000056",826.979761041288,-0.0856695995108499,0.0968421159145719,-0.884631636781071,0.376355337807198,0.993237435802642
"ENSMUSG00000000058",476.367556532736,-0.664849352593063,0.0975454939853199,-6.81578743855784,9.37488257103441e-12,2.14473664872836e-09
"ENSMUSG00000000078",1413.26159010682,0.279914475687221,0.0841762770436858,3.325336846888,0.000883117695302632,0.0304131433664714
"ENSMUSG00000000085",551.558813534417,0.0233484854726171,0.0966638552581764,0.241543081540214,0.809134230473707,0.993237435802642
"ENSMUSG00000000088",375.405472821813,0.0121436345979923,0.124264015176279,0.0977244665784025,0.922151087023446,0.993237435802642
"ENSMUSG00000000093",27.1228060002279,-0.0220363342016066,0.1522572895043,-0.14473089776752,0.884923343106861,0.993237435802642
"ENSMUSG00000000094",3.92493243931856,-0.105647580781893,0.0910203450951762,-1.1607029249496,0.245762731957813,0.982045873491507
"ENSMUSG00000000120",73.6011232578077,0.161999934517856,0.151686545120031,1.0679914582382,0.285524364859212,0.993237435802642
"ENSMUSG00000000125",104.234373602973,0.189576061524322,0.142596351781113,1.32945940871842,0.183696449045618,0.908575750644886
"ENSMUSG00000000126",142.556862481375,0.146322230505369,0.140329029892654,1.04270820241044,0.297083457817943,0.993237435802642
"ENSMUSG00000000127",414.929034337555,0.00348332680056753,0.109702684483541,0.0317524299151509,0.9746694829164,0.995567960079478
"ENSMUSG00000000131",1003.32579714263,-0.0171313199345688,0.0871003626130974,-0.196684829093843,0.844074182824353,0.993237435802642
"ENSMUSG00000000134",440.804052118375,0.0959499682186705,0.105546231677735,0.90907999929012,0.363307899242833,0.993237435802642
"ENSMUSG00000000142",359.845293221633,0.106491396441522,0.108724363512003,0.979462127913633,0.327351692501616,0.993237435802642
"ENSMUSG00000000148",163.148484558121,0.0433188530350922,0.131808872208856,0.328648992356539,0.74242101260336,0.993237435802642
"ENSMUSG00000000149",558.0193021191,0.138112760480436,0.0996602131253989,1.38583649531889,0.165796835664592,0.875037588249015
"ENSMUSG00000000154",3.37114816489232,0.00463755266126387,0.0859698035018474,0.0539439718640768,0.956979803164431,0.99411089834051
"ENSMUSG00000000157",0.384621142745629,-0.0251782419407131,0.0305868641387707,-0.823171732364617,0.410410341368887,0.993237435802642
"ENSMUSG00000000159",10.6899067810189,-0.00195381320377448,0.128641466713667,-0.0151880513623443,0.987882154195622,0.997171670119115
