"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mgi_symbol"
"ENSMUSG00000000001",654.882728373146,-0.096748371756546,0.0981237883087631,-0.985982842938258,0.32414153217699,0.994309587452224,"Gnai3"
"ENSMUSG00000000028",22.0917362815786,-0.201597752403532,0.150082208579166,-1.34324883883351,0.179191412216053,0.878214637227707,"Cdc45"
"ENSMUSG00000000031",9.46778819765975,0.136980953021485,0.124172195222212,1.10315318800921,0.269960646283819,0.97345104075226,"H19"
"ENSMUSG00000000037",40.6471090279983,-0.0965973799685695,0.155385953247398,-0.621660954222625,0.534164831316162,0.994309587452224,"Scml2"
"ENSMUSG00000000049",4.35469334464633,0.0393824248611979,0.0960076424036522,0.410200936875623,0.681658553694605,0.994309587452224,"Apoh"
"ENSMUSG00000000056",826.979761041288,-0.0857488806519197,0.0969169880538654,-0.884766255883451,0.376282712615035,0.994309587452224,"Narf"
"ENSMUSG00000000058",476.367556532736,-0.665676871980339,0.0975199278085909,-6.82605993399532,8.72784786730733e-12,1.9715414891532e-09,"Cav2"
"ENSMUSG00000000078",1413.26159010682,0.280057460292092,0.0842984096384617,3.32221522912709,0.000893057782678447,0.029866352333774,"Klf6"
"ENSMUSG00000000085",551.558813534417,0.0233777084009474,0.0966643746830077,0.241844096934472,0.808900968504015,0.994309587452224,"Scmh1"
"ENSMUSG00000000088",375.405472821813,0.0121875411480699,0.124348662582777,0.0980110352208807,0.92192353072058,0.994309587452224,"Cox5a"
"ENSMUSG00000000093",27.1228060002279,-0.0222559200242258,0.153131432688585,-0.145338678241759,0.88444347809355,0.994309587452224,"Tbx2"
"ENSMUSG00000000094",3.92493243931856,-0.107469104529484,0.0920983425247772,-1.16689509912267,0.243252735334105,0.955495397212059,"Tbx4"
"ENSMUSG00000000120",73.6011232578077,0.163108455531001,0.152036121792669,1.07282699405758,0.283348746825951,0.9819788422878,"Ngfr"
"ENSMUSG00000000125",104.234373602973,0.19055451107385,0.142714427749822,1.33521546544609,0.18180583656827,0.882351104844305,"Wnt3"
"ENSMUSG00000000126",142.556862481375,0.147021710076526,0.140446729592661,1.0468147638819,0.29518501973454,0.992421775249007,"Wnt9a"
"ENSMUSG00000000127",414.929034337555,0.00348403999724755,0.109705147215627,0.0317582181481386,0.974664866902647,0.995736421574118,"Fer"
"ENSMUSG00000000131",1003.32579714263,-0.0171433216885847,0.0871807591890227,-0.196641114943896,0.844108393656799,0.994309587452224,"Xpo6"
"ENSMUSG00000000134",440.804052118375,0.0960853652053579,0.105539617497849,0.910419873440567,0.362601120876507,0.994309587452224,"Tfe3"
"ENSMUSG00000000142",359.845293221633,0.106676174619169,0.10868978714025,0.981473765161738,0.32635916555293,0.994309587452224,"Axin2"
"ENSMUSG00000000148",163.148484558121,0.0435058931114742,0.131815697490619,0.330050926708257,0.741361482152388,0.994309587452224,"Brat1"
"ENSMUSG00000000149",558.0193021191,0.138280303969695,0.0996747005606583,1.38731597077177,0.165345435248268,0.852356407340216,"Gna12"
"ENSMUSG00000000154",3.37114816489232,0.00470315897647771,0.0870094783201897,0.0540534096661328,0.956892611643629,0.99443889636039,"Slc22a18"
"ENSMUSG00000000157",0.384621142745629,-0.0257588820042513,0.0310581876293381,-0.82937492398684,0.406892286405688,0.994309587452224,"Itgb2l"
"ENSMUSG00000000159",10.6899067810189,-0.00205285100402769,0.129850305703556,-0.015809365968797,0.987386476408652,0.997367224012661,"Igsf5"
"ENSMUSG00000000167",58.4152792259787,0.155223721971032,0.152943850736696,1.01490658972789,0.310150356692306,0.994309587452224,"Pih1d2"
"ENSMUSG00000000168",1577.99752780965,-0.206686055333053,0.079435041899821,-2.60195060504549,0.00926952020877484,0.171631175966943,"Dlat"
"ENSMUSG00000000171",831.690283351288,-0.149593324828522,0.0873341550167856,-1.71288455014845,0.0867337811449056,0.653277051800125,"Sdhd"
"ENSMUSG00000000182",13.5650331119495,0.269484865891986,0.135164714733002,1.99375159725904,0.0461792075762083,0.470205596418476,"Fgf23"
"ENSMUSG00000000184",942.910439656713,0.435625446080056,0.0921375848680565,4.72798854782099,2.26754971197302e-06,0.000185761782049052,"Ccnd2"
"ENSMUSG00000000194",724.906325508454,-0.0420205052464281,0.0928422419662928,-0.452601147457038,0.650835972368889,0.994309587452224,"Gpr107"
"ENSMUSG00000000197",2050.72120548801,-0.110492515764272,0.0848509280024428,-1.30219572567423,0.192849485984214,0.895854183536317,"Nalcn"
"ENSMUSG00000000202",134.289154999252,0.194976602081257,0.13573666331366,1.43643284961783,0.150879211325115,0.820719492777245,"Btbd17"
"ENSMUSG00000000204",0.931083559909657,-0.0448358907165212,0.0456314868763529,-0.982564754859128,0.325821698062857,0.994309587452224,"Slfn4"
"ENSMUSG00000000214",92.5305988143465,0.0386625178495988,0.146440500218075,0.264015199292707,0.791768206826388,0.994309587452224,"Th"
"ENSMUSG00000000215",1.07375573504548,0.0215954611051996,0.0529325144959556,0.407981017165728,0.683287611462478,0.994309587452224,"Ins2"
"ENSMUSG00000000216",3.11557026283177,0.109857489507494,0.0834785050657635,1.31599732674835,0.188174939918063,0.890985635661944,"Scnn1g"
"ENSMUSG00000000223",2015.72019404198,-0.032596455312029,0.0788813702295161,-0.413233888016717,0.679435262018582,0.994309587452224,"Drp2"
"ENSMUSG00000000244",1.97682488315534,-0.0367903181028479,0.0697399655091675,-0.527535650960592,0.597821665895635,0.994309587452224,"Tspan32"
"ENSMUSG00000000247",478.17772999911,0.157528558189808,0.109207528115153,1.44246977208113,0.149169893098326,0.818656248015326,"Lhx2"
"ENSMUSG00000000248",0.285108568862717,0.00996473929077441,0.0278849812625365,0.35735147881064,0.720828696098163,0.994309587452224,"Clec2g"
"ENSMUSG00000000253",342.750193594634,0.160619736921176,0.119791106693096,1.34083189775251,0.17997503727966,0.879690247714065,"Gmpr"
"ENSMUSG00000000263",127.792225981593,-0.115175053923351,0.140236626732091,-0.8212908182923,0.411480636390818,0.994309587452224,"Glra1"
"ENSMUSG00000000266",683.394226248317,-0.00122208463496799,0.091366061736404,-0.0133756956548458,0.989328057166136,0.997424167066146,"Mid2"
"ENSMUSG00000000275",114.56138700814,0.0163770817198831,0.139931917110674,0.117036070526571,0.906831469738858,0.994309587452224,"Trim25"
"ENSMUSG00000000276",2040.00046968309,0.0428424496149757,0.0862516368793804,0.496714626701974,0.619390306413366,0.994309587452224,"Dgke"
"ENSMUSG00000000278",228.876376145292,0.332258777650248,0.120966802233677,2.74669389878066,0.00601992900362145,0.125174222495386,"Scpep1"
"ENSMUSG00000000282",522.922845637173,0.102979367456804,0.101309172959862,1.01648611323284,0.309397957056918,0.994309587452224,"Mnt"
"ENSMUSG00000000290",38.4850617843648,-0.0523667283354738,0.155402973131416,-0.336973786796152,0.736136660737773,0.994309587452224,"Itgb2"
"ENSMUSG00000000295",133.121493475856,-0.0551048408803048,0.137076042316319,-0.402001983345448,0.687682566632602,0.994309587452224,"Hddc2"
"ENSMUSG00000000296",299.975244077263,-0.0191261816680059,0.1149175009396,-0.166434020159023,0.867815403077541,0.994309587452224,"Tpd52l1"
"ENSMUSG00000000301",15.550116366057,0.0846719563955394,0.138633599676302,0.610760714525495,0.541358004878348,0.994309587452224,"Pemt"
"ENSMUSG00000000303",56.8167320649858,0.147054312866707,0.154482093796049,0.951918175454374,0.341138481027448,0.994309587452224,"Cdh1"
"ENSMUSG00000000305",369.869866225047,-0.113005660812285,0.115995943577945,-0.974220798819134,0.329946919745899,0.994309587452224,"Cdh4"
"ENSMUSG00000000308",4650.80452640364,0.0808434154640576,0.0828438419784787,0.975853045119023,0.329137293605976,0.994309587452224,"Ckmt1"
"ENSMUSG00000000317",23.148827523855,-0.00805861631069787,0.149976708251957,-0.0537324522229117,0.957148327005391,0.99443889636039,"Bcl6b"
"ENSMUSG00000000318",6.36826889851761,-0.0142730779469921,0.109474571733458,-0.130378020402248,0.896267355326824,0.994309587452224,"Clec10a"
"ENSMUSG00000000320",9.60464529336294,0.162464691589326,0.125981519334122,1.28959146109712,0.197192542022821,0.901954956211615,"Alox12"
"ENSMUSG00000000325",344.402202609803,0.0517444973641391,0.112377876118458,0.460450928166635,0.645192586596104,0.994309587452224,"Arvcf"
"ENSMUSG00000000326",1068.75062969928,0.190527546552874,0.086961852827272,2.19093246473611,0.028456680005383,0.352312697944074,"Comt"
"ENSMUSG00000000339",734.353855208103,0.0416808023963369,0.105195896708913,0.396220800433608,0.691942147820716,0.994309587452224,"Rtca"
"ENSMUSG00000000340",330.676876956323,0.172527961968798,0.117970462684088,1.46246745196557,0.143613157220868,0.80870813920313,"Dbt"
"ENSMUSG00000000346",1594.59375083641,0.105859216337408,0.0992419784854113,1.0666778106703,0.286117350388597,0.985096843904094,"Dazap2"
"ENSMUSG00000000355",556.540876441417,-0.0468922580142349,0.102358734900416,-0.458116818851425,0.646868516200062,0.994309587452224,"Mcts1"
"ENSMUSG00000000359",5.95594304625237,-0.114510066601789,0.105763736201252,-1.08269687432272,0.278942991865196,0.978482579630606,"Rem1"
"ENSMUSG00000000365",19.2811965662867,0.022668898812696,0.144714927452525,0.156645200407074,0.875524477481056,0.994309587452224,"Rnf17"
"ENSMUSG00000000374",993.075799555585,0.128300834343483,0.102045867664191,1.25728593700326,0.208650114432009,0.912931509668348,"Trappc10"
"ENSMUSG00000000378",421.147235363885,-0.0299596233371016,0.109058544610817,-0.274711380424289,0.783537987125659,0.994309587452224,"Ccm2"
"ENSMUSG00000000384",156.927390185204,-0.0670155889750999,0.132668059747789,-0.505137326214775,0.613462386367819,0.994309587452224,"Tbrg4"
"ENSMUSG00000000385",0.530262687249339,-0.0218703207743117,0.0364846300403836,-0.599439291287981,0.548879982221753,0.994309587452224,"Tmprss2"
"ENSMUSG00000000386",8.74147010311673,-0.022177599761287,0.119408993069259,-0.185728052730698,0.852658028159859,0.994309587452224,"Mx1"
"ENSMUSG00000000392",67.6962763298753,0.0169756471107576,0.153408453293251,0.110656529978224,0.911888718255159,0.994309587452224,"Fap"
"ENSMUSG00000000394",0.503538597320042,-0.0207919685108687,0.0361008277382276,-0.575941600609114,0.564654655620655,0.994309587452224,"Gcg"
"ENSMUSG00000000399",1291.3349596845,0.0443135830105162,0.0876115177499577,0.505796317066286,0.612999644243495,0.994309587452224,"Ndufa9"
"ENSMUSG00000000402",44.0992833066971,-0.0825431823594573,0.154995241034618,-0.532553011360017,0.594343036462352,0.994309587452224,"Egfl6"
"ENSMUSG00000000409",17.9952133203487,0.12567811663895,0.144628973361886,0.868969154088388,0.384864002606343,0.994309587452224,"Lck"
"ENSMUSG00000000411",3.17154545872536,0.109905451365808,0.0799909457388448,1.37397364602525,0.169449864186151,0.858739197333335,"Tssk3"
"ENSMUSG00000000416",2398.85906580183,-0.0518389065283252,0.0871402002147419,-0.5948908356944,0.5519164434921,0.994309587452224,"Cttnbp2"
"ENSMUSG00000000420",1407.12730640764,-0.128024382429219,0.0835609063699776,-1.53210858989937,0.125495640383522,0.762243607915101,"Galnt1"
"ENSMUSG00000000439",628.052438399612,0.248888043981911,0.100922989389439,2.46611842839404,0.013658616671924,0.221366943191333,"Mkrn2"
"ENSMUSG00000000440",66.4381455410717,0.0767087451346615,0.152291603952263,0.503696481906556,0.614474680975927,0.994309587452224,"Pparg"
"ENSMUSG00000000441",893.865172685369,0.0175051700613387,0.0904853249026071,0.193458663934513,0.846599775887783,0.994309587452224,"Raf1"
"ENSMUSG00000000486",14.5657179563381,-0.0673363961994075,0.140255472889406,-0.480098172372237,0.631157587733817,0.994309587452224,"Sept1"
"ENSMUSG00000000489",181.810566413516,-0.00239950327819329,0.126052029081279,-0.0190358163663203,0.984812533252149,0.996644883568175,"Pdgfb"
"ENSMUSG00000000530",251.138332503291,-0.0671718297889577,0.12886232204798,-0.521268193226778,0.602179955030578,0.994309587452224,"Acvrl1"
"ENSMUSG00000000531",518.307872791336,-0.0378137019692048,0.101584798291258,-0.372237801376418,0.709715803598927,0.994309587452224,"Grasp"
"ENSMUSG00000000532",1543.4369220761,-0.163837725740969,0.0836698950962552,-1.95814427103664,0.0502130862158541,0.491993204373637,"Acvr1b"
"ENSMUSG00000000538",2351.06769207264,0.367504821618118,0.089586198045017,4.10224822168977,4.09154983125907e-05,0.00231376912417687,"Tom1l2"
"ENSMUSG00000000544",0.174926002187793,0.00170095042734446,0.0235383136532866,0.0722630538618455,0.942392566544238,0.994309587452224,"Gpa33"
"ENSMUSG00000000552",639.661235784362,0.0593701387957295,0.109898880573059,0.540225145935504,0.589041773127994,0.994309587452224,"Zfp385a"
"ENSMUSG00000000555",50.3411261649542,-0.0747603799957535,0.154390240119374,-0.484229961284789,0.628222675728543,0.994309587452224,"Itga5"
"ENSMUSG00000000560",2152.33962813967,-0.191525022307165,0.0767734907938157,-2.49467648698596,0.0126072014313771,0.211094165206778,"Gabra2"
"ENSMUSG00000000561",425.824668545997,0.0459932250465004,0.108843423653158,0.422563196772117,0.672613983079132,0.994309587452224,"Wdr77"
"ENSMUSG00000000562",15.2423990069757,-0.0334009443958784,0.138678949804236,-0.240850860516527,0.809670708681561,0.994309587452224,"Adora3"
"ENSMUSG00000000563",4307.03815482909,-0.0907636518552341,0.0773896546300693,-1.1728137603029,0.240870498808001,0.954570073097764,"Atp5f1"
"ENSMUSG00000000567",804.336751112672,0.359484604702065,0.108194299445257,3.32258359770564,0.000891879422512535,0.029866352333774,"Sox9"
"ENSMUSG00000000568",3368.28103979633,0.0380644678119917,0.0767696271928413,0.495827180668414,0.620016346202467,0.994309587452224,"Hnrnpd"
"ENSMUSG00000000579",208.171491494937,-0.468395256646301,0.123923604983282,-3.77970973899194,0.000157011286852957,0.00710640520167991,"Dynlt1c"
"ENSMUSG00000000581",544.753264816641,0.115340003251266,0.0966686221970407,1.19314831048453,0.232811294079935,0.94444664214569,"C1d"
"ENSMUSG00000000594",847.746689375565,0.161399468228832,0.108131435701121,1.49262300257388,0.135535898645133,0.792181440211056,"Gm2a"
"ENSMUSG00000000600",1406.80245710158,-0.261566420382581,0.0875916695412885,-2.98620201843835,0.00282465973929695,0.0728838475618386,"Krit1"
"ENSMUSG00000000605",2914.59071961446,0.155209388471503,0.0730027994999642,2.12607447296016,0.0334970590491236,0.389123386279861,"Clcn4"
"ENSMUSG00000000627",301.693148011214,-0.0399096683468606,0.123599207822636,-0.322895826356191,0.746774137243349,0.994309587452224,"Sema4f"
"ENSMUSG00000000628",60.1378343473482,-0.169379577326443,0.15192733936006,-1.11487226749243,0.264905162325286,0.970105860835994,"Hk2"
"ENSMUSG00000000631",3431.89096124116,0.176104214887866,0.0736516932813009,2.39104095292506,0.0168006787496184,0.252701734606851,"Myo18a"
"ENSMUSG00000000632",2635.51058507487,-0.0546263163196447,0.0810661151224661,-0.673848947086228,0.500407352429754,0.994309587452224,"Sez6"
"ENSMUSG00000000673",0.858443356757861,0.0322072899197353,0.0466717954723454,0.690080370677386,0.490143646579541,0.994309587452224,"Haao"
"ENSMUSG00000000682",20.2059686452446,-0.134023670929704,0.148115063673716,-0.904861852707611,0.365538578678292,0.994309587452224,"Cd52"
"ENSMUSG00000000686",4.33456399576854,-0.0533472046025938,0.0934324596139788,-0.570970782777213,0.568019448247684,0.994309587452224,"Abhd15"
"ENSMUSG00000000690",0.168038718573724,-0.00939511704061212,0.0235383136532866,-0.399141466929187,0.689788969480647,0.994309587452224,"Hoxb6"
"ENSMUSG00000000693",51.1182575475454,0.110048066334518,0.154815871235409,0.710831941559675,0.477188384502272,0.994309587452224,"Loxl3"
"ENSMUSG00000000706",1.14776656042225,-0.000747083062402822,0.0519065009716188,-0.014392861171885,0.988516554761012,0.997424167066146,"Btn1a1"
"ENSMUSG00000000708",531.550734257519,-0.0684634067826602,0.105591918781811,-0.648377333914433,0.516740926695539,0.994309587452224,"Kat2b"
"ENSMUSG00000000711",2061.73607627525,0.0649002138085754,0.0842904025164626,0.769959709183971,0.441323793145451,0.994309587452224,"Rab5b"
"ENSMUSG00000000724",0.168038718573724,-0.00939511704061212,0.0235383136532866,-0.399141466929187,0.689788969480647,0.994309587452224,"Cryba1"
"ENSMUSG00000000730",0.88153037028662,0.0529179451084835,0.0428706440021484,1.23436319514658,0.21706759716791,0.924530828272621,"Dnmt3l"
"ENSMUSG00000000731",2.68201357259247,-0.0465323918183746,0.0790859287736725,-0.588377636071528,0.556278845360644,0.994309587452224,"Aire"
"ENSMUSG00000000732",37.2599392029102,0.0690183637223892,0.155404545956084,0.444120622712627,0.656955377185552,0.994309587452224,"Icosl"
"ENSMUSG00000000738",769.057460351357,0.0774488547193854,0.090058759117201,0.859981366372089,0.389799314121642,0.994309587452224,"Spg7"
"ENSMUSG00000000739",2.79344140470117,-0.0290774960262617,0.0794362381329795,-0.366048250895073,0.714329071350179,0.994309587452224,"Sult5a1"
"ENSMUSG00000000740",1922.4231092171,0.0150368711049456,0.104916089459113,0.143322832393649,0.886035224338997,0.994309587452224,"Rpl13"
"ENSMUSG00000000743",334.529269206826,0.0953004274242123,0.126947257011486,0.750708835052576,0.452827904713487,0.994309587452224,"Chmp1a"
"ENSMUSG00000000751",673.803015158723,0.196286695591439,0.0946548100813724,2.07371073295373,0.0381061838290257,0.420263693070015,"Rpa1"
"ENSMUSG00000000753",263.050125331279,-0.593011352252985,0.120639695993602,-4.91555741556604,8.8530198847794e-07,8.11733719915124e-05,"Serpinf1"
"ENSMUSG00000000759",665.530927016362,-0.0453986862537763,0.0965437895683524,-0.470239323075612,0.638184042655672,0.994309587452224,"Tubgcp3"
"ENSMUSG00000000766",39.7960533821069,-0.112973836200508,0.155399439288452,-0.726989986050121,0.467232090235218,0.994309587452224,"Oprm1"
"ENSMUSG00000000776",376.382370281143,0.0301954429195869,0.109182179723709,0.276560176724791,0.78211784670645,0.994309587452224,"Polr3d"
"ENSMUSG00000000782",85.3161238608403,-0.0575700734392319,0.145750220664835,-0.394991329526828,0.692849286841384,0.994309587452224,"Tcf7"
"ENSMUSG00000000787",9034.58570599392,-0.00765873517825783,0.0833328830003099,-0.091905318795095,0.926773265562507,0.994309587452224,"Ddx3x"
"ENSMUSG00000000791",4.8247211447637,0.054537020421776,0.100020199221044,0.54526006593178,0.58557466528907,0.994309587452224,"Il12rb1"
"ENSMUSG00000000792",192.979116002208,0.0334814730154687,0.12477073913078,0.268343950262046,0.78843457889589,0.994309587452224,"Slc5a5"
"ENSMUSG00000000794",123.666776226206,-0.177417830157967,0.136632737408909,-1.29850161478502,0.194115021807457,0.899058177892783,"Kcnn3"
"ENSMUSG00000000804",4325.55082739916,-0.0259349297888313,0.0757850087175154,-0.342217151224491,0.732187478806662,0.994309587452224,"Usp32"
"ENSMUSG00000000805",693.967398097889,0.123683085639264,0.0930753747469285,1.32884864525722,0.183897909518115,0.88495082451467,"Car4"
"ENSMUSG00000000811",106.458907035759,0.123576812779883,0.141613262598833,0.872635871189237,0.382861582018319,0.994309587452224,"Txnrd3"
"ENSMUSG00000000817",5.36456726788226,0.121774360019339,0.104374751316211,1.16670323506127,0.243330235928619,0.955495397212059,"Fasl"
"ENSMUSG00000000823",990.087399606249,0.104212870029221,0.086760205683908,1.20115978526951,0.229689225586736,0.940558829553794,"Zfp512b"
"ENSMUSG00000000826",3691.11986842888,-0.0381704498369821,0.0890808670016132,-0.42849212318837,0.668292867058416,0.994309587452224,"Dnajc5"
"ENSMUSG00000000827",807.672741064365,0.0798771399897558,0.0915656963973742,0.872347867514788,0.383018631488757,0.994309587452224,"Tpd52l2"
"ENSMUSG00000000838",2074.88775319124,-0.146227546218961,0.0881372581269893,-1.65908889528052,0.0970978806145101,0.682516627613439,"Fmr1"
"ENSMUSG00000000861",2168.78617829356,-0.0135965194690039,0.0759713891516553,-0.178968946347188,0.857962085210475,0.994309587452224,"Bcl11a"
"ENSMUSG00000000869",2.78991660935825,0.0751001332800259,0.0803848826871193,0.93425692455554,0.350171378353219,0.994309587452224,"Il4"
"ENSMUSG00000000876",190.167610916266,-0.0333342234455067,0.124332824457185,-0.268104771133753,0.788618673403355,0.994309587452224,"Pxmp4"
"ENSMUSG00000000881",3261.83543529138,-0.106457390451888,0.0793210560354229,-1.34210757865284,0.179561116945047,0.878813203437173,"Dlg3"
"ENSMUSG00000000884",24.5134154710697,0.11849036275909,0.151983769143971,0.779625110144801,0.435611571372067,0.994309587452224,"Gnb1l"
"ENSMUSG00000000889",14.1807871470704,0.0682321216961945,0.131837290984241,0.517547965274489,0.604773694885856,0.994309587452224,"Dbh"
"ENSMUSG00000000901",13.9376276659481,-0.0324976806743981,0.135568592405189,-0.239713934458128,0.810552031728452,0.994309587452224,"Mmp11"
"ENSMUSG00000000902",697.827878743713,0.0855466231928275,0.0997068875867593,0.857981080979884,0.390902910298181,0.994309587452224,"Smarcb1"
"ENSMUSG00000000903",0.572064742010854,0.0151373702522826,0.0397528934843451,0.380786627726704,0.703361582610665,0.994309587452224,"Vpreb3"
"ENSMUSG00000000915",1064.80835564008,0.125387391674216,0.0893244276405653,1.40373014399561,0.160399222589206,0.838544052786994,"Hip1r"
"ENSMUSG00000000916",174.732223039587,-0.185521397545453,0.127326529359847,-1.45705218290477,0.145101976289244,0.811173787180896,"Nsun5"
"ENSMUSG00000000934",292.43620592709,-0.106929971001269,0.117277516967089,-0.911768715492809,0.361890482283863,0.994309587452224,"Top1mt"
"ENSMUSG00000000942",0.98522422725141,-0.0320112207053555,0.0452907548847388,-0.706793710699266,0.47969468356553,0.994309587452224,"Hoxa4"
"ENSMUSG00000000948",12363.6180436507,-0.0514730960771485,0.0679473019810507,-0.757544370069373,0.448723793999872,0.994309587452224,"Gm38393"
"ENSMUSG00000000957",213.053149118171,0.240000833098986,0.122842820784675,1.95372290839585,0.0507339955805779,0.493980533772021,"Mmp14"
